AT,V,AP,RH
14.18,53.82,1016.9,64.57
20.24,56.53,1020.29,77.75
23.82,73.67,1007.26,88.16
7.41,40.81,1026.15,88.96
8.33,38.08,1018.94,73.78
17.0,45.09,1013.52,88.32
11.46,39.82,1012.09,86.2
30.87,67.32,1013.78,34.54
13.26,40.83,1007.97,90.63
9.33,44.03,1011.73,86.04
10.15,43.41,1018.4,82.07
12.75,44.2,1017.59,81.22
13.49,43.41,1015.75,57.86
11.08,38.16,1014.45,74.99
27.33,68.94,1007.04,61.83
11.83,44.6,1018.49,89.06
15.58,40.66,1016.34,87.42
9.64,36.66,1027.1,70.11
22.99,46.93,1014.15,49.42
13.86,40.66,1017.15,83.82
14.48,38.92,1015.6,90.05
23.33,54.2,1012.47,79.48
24.78,57.19,1008.08,65.4
8.87,41.16,1023.17,94.13
5.23,40.78,1025.13,92.74
25.26,74.33,1014.79,79.56
7.94,40.6,1015.3,92.14
19.02,47.45,1007.44,76.76
13.97,45.01,1017.44,89.15
13.67,40.71,1016.19,66.15
28.38,72.39,998.93,73.85
12.57,39.18,1023.09,77.28
23.74,52.3,1008.88,76.34
10.48,40.0,1021.35,88.52
8.18,40.02,1031.45,73.66
4.44,38.44,1016.14,75.35
6.8,37.8,1021.09,70.02
26.34,68.67,1006.54,72.48
21.46,58.18,1007.45,95.33
9.13,39.04,1022.36,74.6
21.08,63.13,1013.53,98.0
20.58,54.5,1015.04,89.83
17.16,58.86,1016.4,86.39
11.39,40.27,1009.04,73.13
27.1,52.84,1006.28,53.85
23.91,50.23,1017.25,68.57
22.1,65.94,1009.79,67.57
24.01,65.18,1012.57,76.02
23.18,51.3,1012.04,78.64
17.12,68.28,1003.56,94.29
12.58,39.72,1018.08,64.25
19.23,45.01,1012.24,72.91
14.42,48.92,1011.76,76.03
18.94,47.83,1005.18,78.59
11.0,40.23,1019.08,86.5
13.9,40.2,1013.13,89.91
29.23,74.22,1008.49,57.88
21.14,58.05,1012.98,87.27
33.33,73.03,1014.2,42.28
19.96,39.53,1006.16,62.77
21.63,71.85,1009.44,76.89
24.59,72.24,1011.42,81.5
10.22,39.96,1025.05,96.05
12.17,41.58,1013.89,88.98
25.33,48.6,1002.54,68.45
26.35,59.87,1013.24,73.63
11.46,39.1,1010.17,100.15
27.99,69.89,1013.94,51.25
24.98,58.05,1011.69,69.97
25.42,67.25,1017.92,68.61
28.26,65.34,1014.56,43.4
23.42,63.07,1011.72,75.81
7.4,40.72,1022.56,87.67
17.27,44.9,1007.85,78.8
28.86,73.67,1006.65,68.23
26.07,71.37,1008.6,79.48
14.42,44.88,1019.35,59.17
19.06,56.65,1020.82,82.14
12.72,40.6,1013.45,86.16
14.22,48.6,1006.26,88.05
12.79,44.03,1007.46,95.93
28.09,70.02,1010.84,51.29
15.72,43.02,1011.98,45.74
29.45,68.27,1007.96,61.63
8.06,39.96,1024.23,94.48
11.01,43.69,1016.7,81.48
12.25,44.85,1014.13,85.25
15.25,41.17,1016.0,62.05
20.34,59.8,1015.18,80.21
12.27,41.17,1019.41,58.1
33.82,72.29,1008.67,46.95
31.3,67.17,1007.27,62.99
9.88,40.71,1015.34,84.32
25.25,62.91,1012.51,62.64
7.97,38.5,1013.84,72.36
4.97,38.91,1018.99,89.86
19.82,46.63,1013.17,87.1
21.47,60.93,1006.46,87.83
16.0,44.9,1020.5,80.89
6.33,42.07,1004.25,77.1
20.72,68.61,1011.25,87.1
9.31,41.39,1018.3,93.68
24.21,71.77,1004.52,84.96
15.86,43.5,1021.22,75.38
19.26,58.46,1015.74,84.64
9.08,42.49,1010.67,85.35
33.58,77.54,1010.19,53.49
29.34,74.34,998.58,81.55
14.02,40.66,1017.05,84.14
10.23,43.72,1011.18,97.93
24.33,49.16,1003.46,61.04
21.44,60.32,1015.2,81.1
23.57,64.15,1020.95,68.19
22.86,66.48,1003.77,71.22
12.7,39.72,1017.89,62.97
25.02,69.75,1010.04,91.86
23.94,59.39,1014.32,74.55
9.07,36.3,1015.26,56.81
21.41,56.9,1007.03,79.41
11.21,44.03,1007.95,93.03
12.66,40.35,1011.37,82.77
9.52,39.61,1021.18,73.78
32.86,68.51,1008.43,46.78
10.2,41.62,1016.52,98.09
26.16,52.36,1013.62,58.52
11.43,41.16,1022.81,92.04
8.04,41.92,1029.7,92.21
21.5,44.58,1016.87,57.58
25.02,59.44,1012.49,73.65
5.6,38.91,1019.31,85.33
13.8,44.21,1022.93,83.37
28.16,70.4,1003.77,83.17
23.95,66.48,1003.55,73.68
11.94,39.28,1017.04,89.88
19.08,46.93,1010.6,75.21
22.64,70.98,1005.71,95.65
32.72,69.75,1009.6,49.35
14.66,42.77,1019.37,79.79
22.26,60.37,1008.14,92.37
30.33,70.32,1007.75,52.49
28.54,58.33,1013.9,49.4
17.38,43.14,1011.09,61.9
17.12,48.6,1007.38,79.15
29.94,65.74,1012.4,46.94
14.54,39.39,1013.87,76.39
5.21,35.79,1011.5,95.08
18.36,53.16,1013.14,79.89
25.04,63.86,1018.92,52.79
23.33,58.95,1017.93,66.37
25.41,68.94,1007.21,69.2
24.06,58.2,1017.46,48.04
19.65,57.85,1011.73,93.89
13.61,40.71,1022.36,72.87
31.01,69.04,1009.14,52.81
22.25,43.79,1015.78,52.68
26.69,79.74,1008.29,73.79
14.03,41.79,1008.07,83.32
13.85,45.08,1024.86,83.85
30.76,69.14,1007.63,71.24
25.68,59.44,1012.33,67.29
9.51,39.22,1015.3,72.41
30.19,68.08,1010.95,50.34
12.36,48.04,1012.8,93.59
16.63,53.82,1015.18,66.09
10.72,41.38,1021.6,63.77
16.71,40.56,1019.48,49.88
20.54,68.12,1012.23,81.06
16.76,43.77,1012.25,77.95
26.45,74.33,1013.81,61.7
27.62,67.51,1012.38,60.25
29.13,70.72,1009.61,67.49
29.88,68.08,1011.14,55.78
12.27,41.17,1019.39,52.18
17.03,47.83,1004.94,79.68
21.46,74.87,1009.23,86.58
21.26,51.43,1009.96,80.66
23.35,47.01,1015.03,73.9
16.37,54.3,1017.94,63.63
15.55,43.71,1024.34,79.61
17.23,40.12,1013.52,81.55
32.39,79.74,1006.92,58.58
30.61,77.17,1009.49,73.19
13.18,40.24,1016.81,86.71
15.83,52.75,1024.3,58.34
23.14,58.95,1017.52,66.25
20.61,63.86,1015.43,73.86
19.8,58.79,1017.04,87.71
10.16,40.8,1028.13,86.39
14.8,43.99,1022.89,85.25
26.99,72.99,1008.0,76.1
20.79,65.59,1014.9,77.0
9.08,36.71,1025.07,81.32
28.43,73.18,1012.52,71.05
30.17,76.86,998.23,73.61
8.8,39.42,1025.17,68.72
9.86,38.38,1018.22,85.35
29.05,71.85,1008.6,78.69
8.36,38.91,1016.27,88.82
15.38,43.99,1022.42,83.41
25.59,72.43,1007.88,82.98
6.99,40.07,1014.83,54.36
15.07,39.82,1012.78,84.46
18.34,44.63,1000.76,89.27
9.32,36.66,1027.46,70.76
21.55,44.05,1005.69,84.05
23.46,57.85,1012.7,65.54
20.51,48.6,1005.29,80.7
7.64,43.79,1016.17,84.45
25.52,61.25,1012.84,75.98
23.96,47.43,1008.38,63.55
6.94,38.91,1018.94,90.64
10.99,44.63,1020.67,90.09
20.3,59.8,1015.24,78.75
23.9,61.41,1011.95,67.87
28.06,68.24,1010.27,69.72
11.05,40.71,1024.91,76.42
26.65,73.18,1012.27,83.12
18.09,48.92,1010.6,52.11
11.18,37.5,1013.32,74.32
20.38,66.54,1013.95,77.8
26.06,54.5,1015.52,67.12
11.55,40.6,1014.44,87.06
25.93,69.34,1008.91,79.43
10.64,39.61,1018.33,66.81
32.21,68.3,1014.94,49.38
21.48,61.27,1019.29,61.43
16.76,48.14,1012.92,65.74
11.93,38.78,1013.15,96.08
34.76,68.94,1006.75,41.31
19.94,58.96,1014.16,66.27
32.33,69.89,1014.18,50.93
15.67,41.1,1004.1,77.93
22.63,70.47,1008.0,82.27
7.44,41.04,1021.84,88.56
19.84,56.89,1013.23,78.32
26.2,71.73,1009.99,74.99
15.18,43.67,1011.59,92.58
31.53,70.36,1006.29,57.11
16.32,43.56,1014.4,59.77
6.61,36.24,1013.57,91.8
24.31,65.94,1011.5,61.61
8.04,40.64,1020.64,89.26
27.44,59.74,1010.99,56.42
23.38,58.82,1012.27,77.87
25.38,62.96,1019.98,56.88
25.14,63.47,1012.58,70.27
6.57,42.07,1004.48,74.82
12.51,41.14,1027.36,87.86
13.03,39.52,1016.68,83.09
26.06,64.05,1012.0,84.05
20.35,50.9,1012.6,72.43
26.85,63.56,1013.25,52.84
27.66,76.86,1001.31,69.47
21.5,59.87,1019.05,76.56
11.82,41.17,1019.5,55.74
30.68,71.8,1010.81,61.4
23.04,48.06,1014.16,54.99
26.63,43.77,1011.33,49.3
30.06,69.14,1007.5,72.48
6.52,39.85,1012.55,86.36
26.63,74.22,1007.44,78.5
25.63,48.92,1009.99,34.64
29.34,71.98,1005.19,75.19
32.16,66.25,1008.17,56.88
23.09,70.02,1010.58,77.85
11.1,40.92,1021.98,94.14
12.77,36.71,1013.29,86.4
29.1,73.9,1007.47,59.48
10.54,34.03,1018.71,74.0
15.44,39.54,1007.49,82.14
13.46,44.71,1014.51,50.0
18.6,68.28,1003.27,84.21
30.91,76.2,1008.53,58.08
14.2,38.62,1017.83,77.57
19.05,55.5,1020.25,75.76
20.28,62.52,1017.89,75.67
18.22,45.09,1013.62,75.56
26.21,56.85,1011.45,41.37
31.24,74.22,1007.74,48.77
9.32,41.39,1020.03,70.21
13.89,44.84,1023.66,92.97
5.74,45.87,1011.44,95.94
13.39,44.85,1017.24,80.44
20.51,68.08,1012.73,78.05
25.09,71.58,1010.17,86.01
27.74,74.78,1010.05,60.82
14.4,42.18,1015.47,77.7
29.23,66.51,1011.11,53.12
24.31,66.49,1011.38,54.35
23.19,58.82,1009.96,81.05
11.73,37.92,1008.24,65.13
29.54,72.29,1011.0,42.0
30.99,68.51,1008.0,71.35
29.01,65.71,1013.61,48.07
30.75,73.5,1011.02,54.76
13.74,42.74,1029.54,70.0
16.33,42.44,1013.98,84.9
21.75,58.79,1012.42,87.58
24.72,68.67,1006.74,79.02
26.11,69.84,1002.57,84.99
6.38,40.07,1018.53,60.2
29.25,66.51,1015.53,33.65
28.53,69.84,1004.46,68.03
6.69,36.24,1013.35,91.09
12.24,40.96,1023.22,78.74
10.36,43.67,1012.16,77.04
22.72,50.05,1007.0,88.24
20.3,56.53,1020.27,76.49
30.15,72.51,1009.37,50.64
7.46,41.82,1032.67,74.59
11.91,44.45,1021.39,84.49
16.6,53.16,1014.5,76.75
33.17,70.4,1004.45,58.0
19.94,50.78,1008.78,92.07
8.47,41.03,1021.72,70.16
32.55,69.89,1013.87,40.09
30.8,70.94,1007.06,63.09
24.07,73.46,1006.61,73.46
23.75,68.51,1013.21,76.01
24.58,48.98,1014.96,38.75
31.85,68.3,1014.76,47.06
21.97,58.95,1017.78,76.95
24.06,58.98,1010.66,81.16
22.43,63.76,1009.84,75.27
19.66,42.18,1001.51,95.75
16.44,44.0,1024.48,76.51
18.87,52.08,1005.25,99.19
27.5,49.3,1004.02,59.23
16.23,43.69,1016.4,68.9
23.66,60.37,1006.91,87.13
25.93,66.56,1004.97,76.35
27.96,49.16,1004.8,35.64
14.66,42.07,1018.14,84.68
32.09,70.4,1003.73,55.65
18.97,44.85,1014.86,46.31
28.94,68.67,1005.39,75.24
7.34,40.72,1023.01,80.08
11.88,40.64,1020.5,85.43
15.25,46.36,1019.69,95.83
19.62,62.96,1020.76,76.53
16.54,42.86,1014.85,78.0
19.28,65.46,1013.77,64.24
11.94,44.6,1018.69,85.33
8.1,40.64,1020.66,89.04
29.14,67.45,1015.51,46.47
21.95,60.95,1015.22,75.09
11.2,35.76,1019.24,64.59
24.71,61.9,1013.78,85.82
6.22,39.85,1012.05,86.88
17.67,50.88,1015.64,90.55
11.41,39.61,1018.69,69.44
18.76,58.79,1016.66,88.22
15.55,42.03,1017.41,74.58
20.36,66.05,1015.86,87.19
8.51,40.81,1015.54,83.16
8.94,41.74,1022.55,90.74
9.32,36.3,1027.9,77.02
11.61,41.17,1019.57,58.82
22.3,50.78,1008.85,81.27
15.07,40.69,1015.29,70.98
33.87,71.32,1007.91,39.48
12.51,41.92,1031.21,64.66
21.41,54.2,1011.37,82.28
25.38,71.73,1009.97,72.6
17.77,52.9,1020.11,81.51
24.78,66.49,1010.55,68.12
23.02,67.25,1017.17,72.0
23.11,68.3,1017.83,86.62
13.52,40.83,1008.31,84.14
11.92,38.25,1013.13,84.92
23.09,45.01,1012.25,43.95
16.4,44.9,1009.22,82.31
25.41,77.54,1009.68,89.09
9.47,41.4,1026.21,89.08
29.59,74.78,1009.45,55.75
26.63,74.16,1009.72,83.26
30.28,70.98,1007.51,74.28
10.59,41.54,1019.94,73.88
11.67,44.6,1018.09,92.53
26.06,65.34,1014.07,57.63
22.5,45.38,1014.11,65.08
25.56,50.05,1005.67,69.29
20.6,44.58,1017.67,48.36
26.44,71.64,1004.55,85.53
27.41,69.98,1008.51,65.49
10.77,44.78,1012.87,84.16
26.3,71.94,1006.64,85.12
29.68,64.33,1011.2,57.73
26.14,69.14,1007.1,88.27
21.96,51.43,1007.28,89.96
5.56,45.87,1006.99,96.48
14.47,39.58,1011.31,69.85
16.34,42.28,1008.08,52.8
18.92,67.71,1008.19,64.53
24.91,52.3,1008.72,68.26
24.31,65.34,1013.82,63.85
7.19,39.4,1011.45,90.65
7.98,39.61,1018.57,77.04
27.82,76.09,1007.83,76.07
16.77,49.39,1018.61,95.86
12.25,44.58,1016.47,81.15
21.03,63.86,1014.84,71.72
8.05,38.38,1021.14,86.39
6.16,38.5,1012.83,93.68
24.56,63.21,1013.79,82.38
12.55,38.91,1012.58,75.44
29.24,64.33,1011.49,65.08
25.53,57.17,1010.0,72.57
15.02,37.64,1016.49,83.28
24.26,56.57,1013.86,70.35
27.11,69.75,1009.74,85.67
21.57,66.49,1014.76,68.19
18.5,51.43,1010.82,92.04
16.36,44.88,1018.34,76.0
13.9,41.17,1016.84,72.9
27.34,59.87,1012.06,59.04
25.47,60.75,1007.27,65.91
32.38,67.17,1006.97,60.04
29.01,66.56,1006.44,57.62
20.23,69.45,1013.0,89.79
21.8,51.3,1012.07,89.51
23.14,62.26,1011.87,66.44
26.73,49.02,1007.75,67.73
22.63,58.96,1013.62,56.67
27.35,77.95,1012.14,74.14
14.81,40.71,1018.54,73.0
18.74,45.09,1014.24,41.54
26.54,66.51,1015.39,51.22
10.34,41.74,1020.07,79.17
24.87,60.37,1005.48,76.21
25.03,59.21,1017.28,56.96
23.92,71.98,1006.22,92.96
22.3,67.25,1017.33,75.85
12.05,49.83,1008.54,95.11
23.62,73.67,1007.0,90.8
5.41,45.87,1008.47,97.51
15.86,39.82,1013.12,77.37
15.23,37.87,1020.17,85.02
27.31,64.44,1014.65,57.27
23.24,63.76,1010.1,79.16
25.48,60.29,1017.55,51.22
23.99,58.62,1016.91,66.36
9.54,41.17,1019.79,65.61
23.34,63.73,1012.1,79.11
21.17,64.15,1021.25,62.38
3.91,35.47,1016.92,86.03
28.4,74.93,1013.65,48.6
6.39,35.57,1025.53,77.23
22.84,67.32,1013.77,64.67
27.65,67.07,1005.65,60.42
10.07,34.69,1028.09,70.52
25.63,56.85,1012.68,49.7
8.36,40.71,1026.34,82.76
11.02,43.02,1012.32,66.54
12.57,39.16,1016.53,88.91
30.69,69.89,1013.9,42.85
28.53,76.86,999.08,75.77
3.31,39.42,1024.05,84.31
16.9,54.3,1017.97,60.57
15.84,41.04,1025.64,63.43
9.43,37.14,1013.03,74.99
22.49,62.52,1016.57,63.69
10.3,41.46,1018.21,86.17
30.82,78.87,1012.06,70.69
24.16,65.06,1013.88,58.96
16.01,65.46,1014.0,87.68
12.04,38.25,1013.08,82.45
21.24,50.32,1008.54,84.83
15.63,43.02,1012.57,40.32
24.3,69.23,1013.17,59.91
30.88,67.83,1008.97,54.99
21.43,63.94,1012.68,99.68
14.54,42.77,1019.61,81.82
21.47,58.79,1017.0,76.97
11.38,39.22,1018.62,57.14
18.26,59.15,1012.38,85.74
28.69,58.33,1013.67,34.1
26.9,66.48,1004.47,54.71
9.77,34.69,1027.72,74.98
27.05,77.95,1009.57,76.56
33.15,70.4,1003.72,53.98
14.13,43.41,1015.26,55.63
25.23,69.34,1009.51,82.87
24.99,60.37,1005.66,74.87
9.55,43.99,1020.5,97.28
16.73,37.2,1012.94,74.04
16.27,58.2,1018.47,80.03
14.54,41.16,1000.0,81.34
12.58,43.67,1012.86,94.01
11.62,43.48,1016.66,76.32
11.02,41.17,1018.18,86.86
4.59,39.33,1010.85,71.78
30.32,74.22,1008.31,53.14
27.89,69.88,1007.99,85.62
13.98,40.71,1022.72,71.83
23.15,69.48,1011.07,85.83
12.76,43.7,1015.13,65.34
29.91,70.02,1010.18,64.1
22.99,60.77,1017.97,78.47
26.94,65.61,1014.31,49.73
11.15,41.26,1022.67,81.83
12.07,40.81,1025.63,68.02
25.15,73.67,1007.42,85.48
10.54,42.02,997.5,99.77
8.62,39.54,1011.64,82.86
27.71,74.34,998.14,71.85
20.57,44.9,1008.39,62.69
25.36,60.07,1015.06,66.11
28.4,59.27,1012.03,59.75
23.79,48.06,1012.92,60.03
23.16,69.94,1004.92,68.68
15.64,38.28,1014.39,76.93
26.98,74.78,1009.77,69.54
16.76,45.09,1014.28,57.71
7.45,43.13,1019.31,86.32
8.48,38.5,1013.5,66.51
14.86,44.85,1016.19,67.43
31.28,69.51,1010.09,36.85
28.93,74.78,1009.48,56.4
19.73,49.69,1007.78,73.02
6.59,39.37,1020.34,77.92
13.09,54.3,1017.61,82.38
30.26,77.24,1008.39,74.25
16.78,58.95,1017.74,96.24
18.75,63.09,1018.19,87.84
22.6,69.84,1006.37,79.59
30.91,69.75,1010.23,59.36
10.25,41.46,1018.67,84.41
15.24,39.39,1013.01,74.24
30.25,71.8,1010.87,60.4
22.3,74.87,1009.69,86.18
16.97,44.92,1025.21,74.27
26.02,68.67,1006.73,75.19
6.86,42.49,1007.95,93.96
13.42,40.92,1022.84,75.89
25.63,58.86,1014.86,52.75
25.68,70.17,1001.38,85.89
25.96,63.78,1016.95,49.47
22.72,69.84,1005.96,83.9
21.96,58.79,1012.1,88.74
25.21,75.6,1017.19,69.84
25.45,67.83,1009.47,57.97
12.04,41.58,1018.02,88.91
29.01,66.44,1011.21,71.56
17.8,46.48,1007.27,81.31
22.61,44.05,1005.69,76.74
24.43,65.27,1013.25,55.4
13.33,39.39,1013.93,84.74
14.32,44.6,1013.85,68.13
13.13,50.59,1020.26,87.44
13.9,39.54,1007.01,81.33
24.87,65.75,1006.45,65.75
31.26,68.94,1005.94,39.49
12.52,71.14,1019.49,76.11
25.06,64.63,1020.66,54.93
30.51,59.57,1011.08,61.94
27.35,66.05,1017.62,55.26
24.49,65.61,1014.71,63.47
23.67,71.77,1004.76,86.13
17.47,63.31,1015.28,88.22
31.5,74.16,1011.72,56.42
28.74,71.14,1011.53,48.6
22.54,63.07,1011.71,81.64
32.1,69.98,1013.31,55.84
10.57,36.71,1022.11,82.39
23.55,51.95,1006.0,76.46
27.51,73.77,1002.42,90.88
25.99,71.32,1007.17,83.23
21.9,63.13,1011.54,81.83
22.85,59.15,1014.74,63.92
13.66,40.55,1005.46,96.02
22.79,50.78,1008.65,58.39
24.29,57.5,1014.85,67.28
12.93,41.39,1018.5,80.28
16.7,50.88,1015.11,97.25
20.36,65.27,1011.73,70.8
32.31,62.04,1010.45,38.01
10.09,37.14,1012.99,72.59
5.79,45.87,1010.23,95.41
15.69,37.87,1021.18,84.38
31.27,69.13,1009.45,57.01
14.7,44.9,1021.87,83.9
10.86,37.5,1013.36,75.56
19.68,62.96,1020.41,82.26
30.18,61.5,1009.8,36.81
28.64,73.4,1011.48,52.84
32.42,75.08,1004.82,41.62
21.16,45.38,1014.65,73.06
7.87,41.17,1020.33,77.77
34.65,74.67,1016.03,26.67
18.16,43.96,1012.78,78.33
32.27,71.85,1007.88,56.01
29.03,43.21,1011.83,65.23
28.54,71.94,1007.4,65.99
6.9,44.71,1019.7,71.21
8.57,40.69,1020.87,84.15
14.64,42.77,1017.59,79.6
7.39,39.85,1011.63,83.61
23.68,59.27,1010.75,83.82
21.81,65.06,1014.6,66.41
18.21,62.26,1011.97,87.28
25.51,67.69,1004.53,80.03
18.06,50.16,1009.52,100.09
20.62,48.41,1007.37,87.51
30.17,64.79,1017.06,43.81
10.8,41.39,1019.74,74.08
7.87,41.06,1020.91,87.64
26.08,70.32,1012.32,89.0
13.17,36.71,1012.82,72.76
21.26,50.32,1008.41,87.22
31.7,76.09,1007.06,72.39
10.34,41.46,1017.75,89.73
32.06,69.88,1006.88,63.53
28.61,69.84,1004.02,67.26
25.02,60.29,1017.49,54.75
24.2,60.77,1016.92,71.65
9.44,41.4,1027.64,86.22
24.94,67.69,1008.86,68.97
23.43,61.47,1007.84,87.11
24.69,71.73,1010.13,70.54
29.12,66.51,1015.69,37.9
11.97,42.32,1016.95,88.32
9.64,40.56,1022.51,78.62
28.82,71.43,1011.51,58.58
24.06,69.94,1005.47,60.46
27.07,65.59,1012.14,63.93
29.05,75.6,1017.63,51.16
30.22,74.9,1003.57,67.15
11.28,40.55,1006.23,97.78
11.72,40.55,1020.74,86.22
15.67,45.17,1018.73,94.74
22.39,58.18,1008.52,87.48
7.71,38.06,1021.0,83.47
22.63,45.61,1014.14,73.06
19.73,56.65,1020.7,69.49
9.43,41.4,1028.81,85.83
12.75,39.85,1012.51,62.37
10.74,43.67,1011.75,80.1
8.85,40.22,1008.61,90.6
18.55,52.84,1004.45,86.82
19.67,59.39,1014.07,77.67
18.85,67.32,1012.91,82.37
27.57,71.32,1002.59,76.68
13.8,45.08,1023.99,79.72
29.86,70.8,1010.22,70.36
9.41,40.43,1025.68,79.49
23.63,58.79,1017.2,67.68
28.51,74.78,1009.84,59.06
29.53,71.97,1008.6,79.25
10.53,41.26,1007.48,98.74
27.05,75.33,1003.88,82.94
28.16,73.21,1002.27,88.26
24.49,60.27,1018.96,72.62
14.76,40.71,1017.37,71.07
27.0,60.96,1012.36,58.97
30.7,69.59,1008.03,66.78
19.43,52.9,1017.16,67.41
12.42,41.58,1019.49,86.31
20.89,68.63,1012.6,69.52
16.37,36.99,1006.37,90.11
11.29,35.76,1019.32,58.91
10.12,43.72,1011.33,97.62
6.22,39.33,1012.31,93.23
30.68,69.68,1012.86,56.56
28.82,65.71,1014.24,54.3
18.55,61.87,1008.45,65.3
21.63,60.84,1018.16,77.53
32.09,72.86,1003.47,54.59
10.57,37.73,1024.36,70.29
20.6,66.86,1013.08,62.48
12.71,41.39,1019.3,74.2
19.44,48.7,1008.66,94.71
10.4,40.43,1025.46,75.09
14.57,39.28,1015.1,76.94
18.34,45.64,1019.05,82.53
6.98,40.35,1011.92,94.72
31.4,70.32,1011.62,65.01
10.35,44.2,1018.46,88.6
26.35,64.05,1009.81,81.24
29.41,59.27,1011.36,52.37
27.03,65.12,1015.94,45.1
11.26,44.92,1023.63,88.99
4.93,38.44,1015.65,71.47
21.89,74.78,1010.35,80.39
29.06,72.86,1004.23,69.41
16.61,45.87,1009.34,97.93
21.17,58.16,1017.16,68.11
20.59,42.04,1009.78,62.77
9.12,41.54,1018.61,79.26
23.88,69.94,1007.48,61.0
21.44,48.98,1014.4,54.22
7.82,38.91,1015.58,90.11
8.89,41.54,1019.27,82.87
27.07,66.93,1017.32,55.38
16.22,50.88,1014.33,100.09
15.11,43.67,1012.06,91.75
30.62,66.54,1004.11,55.36
19.51,50.16,1010.33,94.37
16.76,53.16,1014.13,81.87
20.12,65.94,1009.93,76.24
23.1,70.79,1006.53,90.81
6.1,40.07,1020.21,67.24
17.48,58.95,1016.49,90.35
25.0,68.14,1005.35,57.13
25.21,50.23,1016.0,56.58
8.28,40.77,1011.55,89.79
26.23,59.07,1008.2,78.93
25.94,66.49,1012.83,61.81
23.77,59.21,1011.97,80.08
21.32,49.02,1008.81,85.81
24.23,56.89,1012.32,68.04
30.64,74.87,1009.44,59.01
16.77,50.9,1013.24,84.4
14.41,46.18,1016.25,88.88
32.91,73.68,1014.49,50.62
19.72,47.03,1012.1,90.36
24.02,77.54,1008.33,83.92
31.3,70.79,1004.3,54.37
10.32,39.28,1016.56,94.13
32.37,68.67,1005.45,47.98
24.57,49.5,1014.22,56.31
19.95,50.66,1013.21,81.98
12.02,39.69,1006.05,84.66
8.16,39.72,1020.54,82.11
29.21,72.25,1012.72,71.85
11.02,40.0,1015.75,74.83
26.88,59.21,1013.54,58.13
14.82,44.2,1018.98,72.8
28.31,66.17,1009.75,72.66
28.17,63.13,1012.44,66.61
14.81,43.69,1017.19,71.9
24.34,50.16,1004.78,74.0
17.89,44.6,1014.48,42.51
20.76,58.79,1017.22,78.75
28.02,63.9,1013.96,46.2
31.67,69.68,1012.38,46.52
19.66,45.01,1014.42,60.14
24.67,68.61,1010.71,57.47
22.84,61.87,1010.63,51.67
31.02,69.51,1011.16,47.64
30.3,69.51,1011.8,50.43
10.22,38.18,1018.01,70.7
23.38,52.84,1005.27,82.98
23.94,51.95,1008.61,73.42
24.59,60.37,1005.31,76.81
22.96,45.01,1012.21,50.81
